id,political,not_political,title,message,created_at,updated_at,target_region,target_gender,target_interest,target_minage,target_maxage,target_language,target_segment,target_retargeting,target_age,target_general_target,target_website,target_state,target_city
hyperfeed_story_id_5c9baa3ee0ec08073500042,0,0,League of Conservation Voters,"<p>BREAKING: Trump’s Department of the Interior plans to remove Endangered Species Act protections for gray wolves. Without these safeguards, gray wolf populations could decline across the country. We must fight back on this attack on our wildlife.</p>",2019-03-27 16:52:25.625455+00,2019-03-27 16:52:25.625455+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb2a2413852086735771,0,0,Indivisible Guide,"<p>The Mueller investigation is over. Special Counsel Robert Mueller has delivered his findings to Attorney General Barr, and now Barr must disclose those findings to Congress. Indivisible is demanding that these findings be made public, and we fully support the congressional investigations that are still pending.</p><p> If you agree, join Indivisible today and urge Congress to release the report. Add your name to the growing list of Americans who are demanding full transparency and accountability in this matter.</p>",2019-03-27 17:28:14.096849+00,2019-03-27 17:28:14.096849+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9bb4fa461731e29426627,0,0,International Rescue Committee,"<p>Zimbabwe is reeling from the impact of Cyclone Idai! Families stranded, hospitals destroyed and landslides threaten to take more lives.</p><p> Our teams are on the ground providing lifesaving aid, medical care and critical supplies.</p>",2019-03-27 17:38:23.101377+00,2019-03-27 17:38:23.101377+00,"","","","","","","","","","","","",""
23843380741530360,0,0,Covenant House International,<p>What more can you do in the final hours of 2018? Help us rescue one more kid from the streets.</p>,2018-12-30 20:59:13.879124+00,2018-12-30 20:59:13.879124+00,the United States,women,"",34,"","","","",34 and older,Activity on the Facebook Family,"","",""
hyperfeed_story_id_5c9bb059454851c17741213,0,1,Planned Parenthood,"<p>Say it loud, say it proud: Our rights, our health care, Planned Parenthood health centers are here to stay.</p>",2019-03-27 17:18:29.764002+00,2019-04-11 15:02:58.081112+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba790386328104458863,0,0,FWD.us,"<p>Florida Senate Bill 168 would damage Florida’s economy and reputation. This harmful legislation would stop local law enforcement from concentrating on real public safety priorities, harm Florida industries, and hurt Florida families.. Sign the petition and ask the legislature to reject SB 168! <a href=""https://bit.ly/2FfjsDt"">https://bit.ly/2FfjsDt</a></p>",2019-03-27 16:40:53.211965+00,2019-03-27 16:40:53.211965+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba7d9b79a68c06825831,0,0,The Women's Building NYC,<p>The Women’s Building will transform the former Bayview Correctional Facility in West Chelsea into a hub for the girls’ and women’s rights movement. This project will provide affordable traditional and shared office spaces to dozens of New York’s leading girls’ and women’s organizations. Tell your state legislator that you support the The Women's Building today!</p>,2019-03-27 16:42:15.746168+00,2019-03-27 16:42:15.746168+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9ba9d489d808901631907,0,0,Brut,<p>Lock them up? Just like Hillary Clinton — these Trump officials used personal email addresses and other non-official channels to do official business.</p>,2019-03-27 16:50:34.465701+00,2019-03-27 16:50:34.465701+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9baa72ac99f2989705251,0,0,American Medical Association (AMA),<p>Click below to see how the AMA and its members are driving the future of medicine:</p>,2019-03-27 16:53:21.747377+00,2019-03-27 16:53:21.747377+00,"","","","","","","","","","","","",""
hyperfeed_story_id_5c9baaf559dec7572690645,0,0,Amy Klobuchar,"<p>Amy Klobuchar’s first ever presidential FEC deadline is almost here and we need YOUR support. This campaign is powered by grassroots supporters -- not corporate PACs or a big political machine. Donate $1 today to become a Founding Donor of Amy’s campaign! <a href=""https://bit.ly/2TmMSEZ"">http://bit.ly/2TmMSEZ</a></p>",2019-03-27 16:55:22.580002+00,2019-03-27 16:55:22.580002+00,"","","","","","","","","","","","",""
