ad_id,page_name,political_value,paid_for_by,ad_text,observed_at,call_to_action,targetings
6210317780298,Pew Research Center,1,NA,"If they had the chance, what would Biden and Trump voters want those on the opposing side to know about them to understand them better? https://pewrsr.ch/3p3mGiN
If they had the chance, what would Biden and Trump voters want those on the opposing side to know about them to understand them better? https://pewrsr.ch/3p3mGiN
Like
Comment",2020-12-25T22:46:24Z,NA,"{'AGE_GENDER': [{'Age': '6-53', 'Gender': 'ANY'}], 'CUSTOM_AUDIENCES_ENGAGEMENT_PAGE': [{'CAEngagementPage', 'Pew Research Center'}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2020-12-31"
6213767259936,Doctors Without Borders/Médecins Sans Frontières (MSF),1,NA,"South Sudan is experiencing multiple crises at once: a widespread measles outbreak, flooding, and increased cases of malaria and malnutrition. Doctors Without Borders is on the ground providing emergency medical care and is calling on local health organizations to carry out a measles vaccination campaign to prevent the spread of new cases in the flooded town of Pibor. Donate to support our efforts in fighting the measles outbreak and continuing to provide vital aid in South S… See More
South Sudan is experiencing multiple crises at once: a widespread measles outbreak, flooding, and increased cases of malaria and malnutrition. Doctors Without Borders is on the ground providing emergency medical care and is calling on local health organizations to carry out a measles vaccination campaign to prevent the spread of new cases in the flooded town of Pibor. Donate to support our efforts in fighting the measles outbreak and continuing to provide vital aid in South S… See More
donate.doctorswithoutborders.org
Urgent: Measles Outbreak in South Sudan
Urgent: Measles Outbreak in South Sudan
Not affiliated with Facebook
Donate Now",2020-12-25T02:21:58Z,NA,"{'AGE_GENDER': [{'Age': '6-53', 'Gender': 'ANY'}], 'CUSTOM_AUDIENCES_DATAFILE': [{'Doctors Without Borders/Médecins Sans Frontières (MSF)', 'CustomAudiencesDatafile'}], 'LOCALE': [{'Locale': ['English (UK)', 'English (US)']}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2021-01-28"
6215414936136,Doctors Without Borders/Médecins Sans Frontières (MSF),1,NA,"South Sudan is experiencing multiple crises at once: a widespread measles outbreak, flooding, and increased cases of malaria and malnutrition. Doctors Without Borders is on the ground providing emergency medical care and is calling on local health organizations to carry out a measles vaccination campaign to prevent the spread of new cases in the flooded town of Pibor. Donate to support our efforts in fighting the measles outbreak and continuing to provide vital aidin South Su… See More
South Sudan is experiencing multiple crises at once: a widespread measles outbreak, flooding, and increased cases of malaria and malnutrition. Doctors Without Borders is on the ground providing emergency medical care and is calling on local health organizations to carry out a measles vaccination campaign to prevent the spread of new cases in the flooded town of Pibor. Donate to support our efforts in fighting the measles outbreak and continuing to provide vital aidin South Su… See More
donate.doctorswithoutborders.org
Urgent: Measles Outbreak in South Sudan
Urgent: Measles Outbreak in South Sudan
Not affiliated with Facebook
Donate Now
Like
Comment",2020-12-25T21:26:12Z,NA,"{'AGE_GENDER': [{'Age': '13-53', 'Gender': 'ANY'}], 'CUSTOM_AUDIENCES_ENGAGEMENT_PAGE': [{'Doctors Without Borders/Médecins Sans Frontières (MSF)', 'CAEngagementPage'}], 'LOCALE': [{'Locale': ['English (UK)', 'English (US)']}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2021-01-26"
6221670718027,Washington Post,1,NA,"A special Washington Post report, revealing the inside story of President Trump's pandemic denial.As coronavirus cases soar to new heights across the country, administration officials and experts point to a dysfunctional federal response led by a perpetually distracted president.
A special Washington Post report, revealing the inside story of President Trump's pandemic denial.
As coronavirus cases soar to new heights across the country, administration officials and experts point to a dysfunctional federal response led by a perpetually distracted president.
washingtonpost.com
The inside story of how Trump’s denial, mismanagement and magical thinking led to the pandemic’s dark winter
The inside story of how Trump’s denial, mismanagement and magical thinking led to the pandemic’s dark winter
As coronavirus cases soar to new heights across the country, experts say a dysfunctional federal response led by a president perpetually in denial has spurred the spike.
Like
Comment",2020-12-25T14:08:58Z,NA,"{'AGE_GENDER': [{'Age': '6-53', 'Gender': 'ANY'}], 'CUSTOM_AUDIENCES_WEBSITE': [{'CAWebsite': 'Washington Post'}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2020-12-28"
6224247278266,World Wildlife Fund,1,NA,"This holiday season, don't forget about the wildlife that need your support. End 2020 by helping nature with a symbolic adoption of your favorite animal!
This holiday season, don't forget about the wildlife that need your support. End 2020 by helping nature with a symbolic adoption of your favorite animal!
Adopt A Three-toed Sloth
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A River Otter
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A Emperor Penguin
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A Koala
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A African Elephant
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A Pangolin
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A Narwhal
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A Gorilla
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A Snowy Owl
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Adopt A African Black-footed Penguin
By donating you are helping WWF continue conservation work around the globe!
Donate Now
See more at
GIFTS.WORLDWILDLIFE.ORG
Like
Comment",2020-12-25T05:44:17Z,NA,"{'AGE_GENDER': [{'Age': '6-53', 'Gender': 'ANY'}], 'CUSTOM_AUDIENCES_LOOKALIKE': [{'CALookalike', 'World Wildlife Fund'}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2020-12-25"
6225633003866,World Wildlife Fund,1,NA,"Having trouble deciding on how to give back this holiday season? If so, you're in luck! Support our planet by donating and you'll receive a free plush or WWF apparel!
Having trouble deciding on how to give back this holiday season? If so, you're in luck! Support our planet by donating and you'll receive a free plush or WWF apparel!
Receive A River Otter
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Vampire Bat
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Bison (Unisex)
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Bumblebee
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Fennec Fox
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Sturgeon
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Three-toed Sloth
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Pangolin
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Honey Badger
By donating you are helping WWF continue conservation work around the globe!
Donate Now
Receive A Male Orangutan
By donating you are helping WWF continue conservation work around the globe!
Donate Now
See more at
GIFTS.WORLDWILDLIFE.ORG
Like
Comment",2020-12-25T17:13:12Z,NA,"{'AGE_GENDER': [{'Age': '6-53', 'Gender': 'ANY'}], 'CUSTOM_AUDIENCES_ENGAGEMENT_VIDEO': [{'CAEngagementVideo': 'World Wildlife Fund'}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2020-12-25"
6231147297184,Save Our Postal Service,1,NA,"This page is to mobilize postal workers and community members in the fight to save the people’s postal service from insolvency, cuts, closures, outsourcing, union-busting and privatization.  To donate, go to labornotes.org/postaldonations
This page is to mobilize postal workers and community members in the fight to save the people’s postal service from insolvency, cuts, closures, outsourcing, union-busting and privatization.  To donate, go to labornotes.org/postaldonations
Save Our Postal Service
Save Our Postal Service
This page is to mobilize postal workers and community members in the fight to save the people’s postal service from insolvency, cuts, closures, outsourcing, union-busting and privatization.  To donate, go to labornotes.org/postaldonations
Like Page
Like
Comment",2020-12-25T23:14:17Z,NA,"{'AGE_GENDER': [{'Age': '6-53', 'Gender': 'ANY'}], 'INTERESTS': [{'Interests': 'United States Postal Service'}, {'Interests': 'Mail'}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2020-12-27"
6242995968151,Mercy Corps,1,NA,"Sorry to interrupt your scrolling, but this is important: In Yemen, 24 million people – over 80% of the population – need humanitarian assistance. Jobs are scarce, and families are hungry as food prices rise – and now, severe flooding and a cholera outbreak have made recovery an even greater challenge.We believe everyone deserves to live in safety and dignity, and we know we’re not alone, so we’re asking you to sign our pledge in support of humanitarian assistance for the p… See More
Sorry to interrupt your scrolling, but this is important: In Yemen, 24 million people – over 80% of the population – need humanitarian assistance. Jobs are scarce, and families are hungry as food prices rise – and now, severe flooding and a cholera outbreak have made recovery an even greater challenge.
We believe everyone deserves to live in safety and dignity, and we know we’re not alone, so we’re asking you to sign our pledge in support of humanitarian assistance for the p… See More
web.mercycorps.org
Add your name if you agree: Yemen deserves humanitarian assistance!
Add your name if you agree: Yemen deserves humanitarian assistance!
Join us in taking a stand for Yemeni families.
Like
Comment",2020-12-25T23:49:44Z,NA,"{'AGE_GENDER': [{'Age': '23-53', 'Gender': 'ANY'}], 'CUSTOM_AUDIENCES_LOOKALIKE': [{'CALookalike', 'Mercy Corps'}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2020-12-28"
23844404615790008,One Fair Wage,1,NA,"""There are millions of Americans who depend on tips for their livelihoods...without the tips they can't put food on their tables, pay the rent, keep the water running, and support their families. And all of them have been laid off. I am asking you to help support these tipped workers who are out of work. OFWEMERGENCYFUND.ORG"" - Jane FondaJane Fonda, a long time champion of One Fair Wage, urges all of us to support America's tipped workers through One Fair Wage and its Emerg… See More
""There are millions of Americans who depend on tips for their livelihoods...without the tips they can't put food on their tables, pay the rent, keep the water running, and support their families. And all of them have been laid off. I am asking you to help support these tipped workers who are out of work. OFWEMERGENCYFUND.ORG"" - Jane Fonda
Jane Fonda, a long time champion of One Fair Wage, urges all of us to support America's tipped workers through One Fair Wage and its Emerg… See More
SECURE.ACTBLUE.COM
Jane Fonda Supports One Fair Wage & Our Emergency Coronavirus Fund
Jane Fonda Supports One Fair Wage & Our Emergency Coronavirus Fund
Not affiliated with Facebook
Donate Now
3.8K Comments
9.8K Shares",2020-12-25T00:43:04Z,NA,"{'AGE_GENDER': [{'Age': '6-53', 'Gender': 'ANY'}], 'INTERESTS': [{'Interests': 'Social justice'}, {'Interests': 'Charity and causes'}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2021-01-04"
23844404616500008,One Fair Wage,1,NA,"""There are millions of Americans who depend on tips for their livelihoods...without the tips they can't put food on their tables, pay the rent, keep the water running, and support their families. And all of them have been laid off. I am asking you to help support these tipped workers who are out of work. OFWEMERGENCYFUND.ORG"" - Jane FondaJane Fonda, a long time champion of One Fair Wage, urges all of us to support America's tipped workers through One Fair Wage and its Emerg… See More
""There are millions of Americans who depend on tips for their livelihoods...without the tips they can't put food on their tables, pay the rent, keep the water running, and support their families. And all of them have been laid off. I am asking you to help support these tipped workers who are out of work. OFWEMERGENCYFUND.ORG"" - Jane Fonda
Jane Fonda, a long time champion of One Fair Wage, urges all of us to support America's tipped workers through One Fair Wage and its Emerg… See More
SECURE.ACTBLUE.COM
Jane Fonda Supports One Fair Wage & Our Emergency Coronavirus Fund
Jane Fonda Supports One Fair Wage & Our Emergency Coronavirus Fund
Not affiliated with Facebook
Donate Now
3.7K Comments
9.7K Shares",2020-12-25T06:35:43Z,NA,"{'AGE_GENDER': [{'Age': '6-53', 'Gender': 'ANY'}], 'INTERESTS': [{'Interests': 'Social justice'}, {'Interests': 'Charity and causes'}], 'LOCATION': [{'Location', 'the United States'}]},2020-12-25,2021-01-05"
